C2,R21,RCC2,MFR,Tensile Modulus,Flexural Modulus,Impact Strength
6.6,14.7,44.9,16,1543,1520,10
3.4,13.9,24.5,16,1250,1200,6.9
7.7,19.9,38.8,16,1536,1530,12.7
4,13.5,29.5,16,1526,1470,7.1
6,15,40,16,1560,1570,7.5
4.9,13.1,37.4,16,1485,1480,8.2
5.6,14.2,39.4,16,1175,1180,9.3
9.3,21.5,43.3,16,1265,1270,13.1
9.9,20.4,48.5,16,1428,1430,10.8
4.3,13.8,31.1,16,1512,1530,8.4
4.7,13.1,35.9,16,1362,1370,8
4.4,14.5,30.3,16,1495,1470,8.6
4,13.4,29.9,16,1451,1430,8.6
5.9,14.4,41.1,16,1535,1510,9
4.9,13,37.7,16,1446,1400,8.1
6.5,14.7,44.4,16,1433,1390,8.8
4.9,14,35,16,1455,1430,9.3
7,14.7,47.6,16,1474,1420,7.4
3.7,14.6,25.3,16,1500,1440,6.4
5.5,14.2,38.7,16,1491,1470,7.8
5.2,14,37,16,1491,1430,8.2
6.3,14.5,43.4,16,1544,1500,7.7
6.4,14.6,43.7,16,1612,1510,7.7
5.5,13.7,40,16,1615,1580,7
5.1,14.1,36.2,16,1501,1450,6.8
5,13.3,37.6,16,1479,1430,8.2
5.5,13.9,39.6,16,1443,1405,8.5
6.5,14.5,45,16,1376,1350,9
5.9,14.4,41,16,1535,1500,8.5
3.8,13.9,27.4,16,1427,1400,6.7
6,13.8,43.5,16,1289,1260,8
11.4,26.3,43.4,24,954,947,13.6
11.7,26.7,43.8,24,1002,960,51.2
11.8,22.7,52.1,24,1149,1027,12.8
9.9,24.1,41,24,1159,1067,12.3
9.7,23.2,41.8,24,1211,1110,12.7
12,24.1,49.8,24,1078,983,22.7
11.9,23.5,50.7,24,1082,1001,13.1
11.9,25.1,47.4,24,1033,886,21.8
12.1,24.9,48.6,24,998,872,19.5
10.6,22.1,48,24,1131,1054,12.3
12.5,26.2,47.7,24,967,849,13.6
12.4,25.1,49.4,24,989.73,906,16.9
10.8,23.3,46.4,24,1174,966,14.7
11.8,24.9,47.4,24,1086,906,16.9
11.4,24.9,45.8,24,1054,1008,19.5
11.5,24.3,47.3,24,1135,1083,14.8
11.4,24.3,46.9,24,1115,952,14.2
11.1,23.3,47.7,24,1127,992,13.8
12,23.6,50.8,24,1053,1030,13.7
11.8,23.8,49.5,24,1120,1080,14.6
11.3,25.9,43.6,24,991,939,17.4
11.3,26.4,42.9,24,1040,988,13
11.1,25.1,44.2,24,1060,1030,12.9
11.2,23.8,47,24,1154,1060,15.4
11.2,26.6,42.1,24,974,951,49.4
8.1,19.7,41.2,24,1233,1180,8.2
10.4,22.7,45.8,24,1141,1080,12.4
10.3,22.4,46,24,1136,1130,13.7
10.7,25.6,41.8,24,1005,1000,11.9
9.7,22.7,42.7,24,1207,1150,10.3
9.8,22.7,43.2,24,1128,1070,14.1
11,22.2,49.5,24,1121,1110,13.7
9.3,19.4,47.9,50,1130,1119,7.5
8.5,18.5,45.9,52,1179,1141,8.8
8,18.8,42.7,45,1188,1160,9.2
8.7,19.3,45.1,49,1305,1209,8.3
12.1,24.3,49.8,47,1052,981,11.8
10,18.4,54.5,52.8,1206,1066,7.8
8.4,17,49.4,49,1369,1199,8.5
10,20.3,49.3,47,1165,1015,10.5
10.7,21.1,50.7,47,1112,1012,10.2
10.1,19.9,50.8,51,1194,1064,9.4
